ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,set_number,review_difficulty,star_rating,val_star_rating,country,piece_cost
6-12,29.99,2.0,277,4.0,Catapult into action and take back the eggs from the Piggy Trike!,75823,Average,4.5,4.0,US,0.10826714801444043
6-12,19.99,2.0,168,4.0,Launch a flying attack and rescue the eggs from the Piggy Plane!,75822,Easy,5.0,4.0,US,0.11898809523809523
6-12,12.99,11.0,74,4.3,Chase the piggy with lightning-fast Chuck and rescue the eggs!,75821,Easy,4.3,4.1,US,0.17554054054054055
12+,99.99,23.0,1032,3.6,Explore the architecture of the United States Capitol Building!,21030,Average,4.6,4.3,US,0.09688953488372093
12+,79.99,14.0,744,3.2,Recreate the Solomon R. Guggenheim Museum® with LEGO® Architecture!,21035,Challenging,4.6,4.1,US,0.10751344086021505
12+,59.99,7.0,597,3.7,Celebrate Shanghai with this LEGO® Architecture Skyline set!,21039,Average,4.9,4.4,US,0.10048576214405361
12+,59.99,37.0,598,3.7,Celebrate New York City with this LEGO® Architecture Skyline model!,21028,Average,4.2,4.1,US,0.10031772575250836
12+,49.99,24.0,780,4.4,Recreate Buckingham Palace with LEGO® Architecture!,21029,Average,4.7,4.3,US,0.06408974358974359
12+,39.99,23.0,468,3.6,Celebrate London with this LEGO® Architecture Skyline model!,21034,Average,4.7,4.1,US,0.08544871794871796
12+,39.99,11.0,444,3.6,Celebrate Chicago with this LEGO® Architecture Skyline model!,21033,Average,4.8,4.5,US,0.09006756756756758
12+,39.99,14.0,386,4.1,Experience the grandeur of the Arc de Triomphe!,21036,Average,4.4,3.6,US,0.10360103626943006
12+,34.99,53.0,321,3.2,Build your own LEGO® interpretation of the iconic Eiffel Tower!,21019,Average,4.6,4.4,US,0.10900311526479751
12+,29.99,7.0,361,4.2,Celebrate Sydney with this LEGO® Architecture Skyline model!,21032,Easy,4.6,4.2,US,0.0830747922437673
7-12,159.99,63.0,847,3.8,Bring your LEGO® creations to life!,17101,Average,3.4,3.5,US,0.18889020070838253
10+,29.99,13.0,708,4.7,Build a LEGO® BrickHeadz version of yourself!,41597,Average,4.8,4.8,US,0.04235875706214689
10+,19.99,1.0,234,3.0,Train a raptor with LEGO® BrickHeadz™ Owen and Blue!,41614,Easy,5.0,5.0,US,0.08542735042735042
10+,19.99,1.0,160,5.0,Join Mr. Incredible and Frozone for LEGO® BrickHeadz™ crime-fighting fun!,41613,Very Easy,5.0,5.0,US,0.12493749999999999
10+,9.99,1.0,149,2.0,Growl like a Wookiee with a LEGO® BrickHeadz™ construction character featuring Chewbacca!,41609,Very Easy,3.0,4.0,US,0.06704697986577181
10+,9.99,1.0,141,2.0,Be a rogue with a LEGO® BrickHeadz™ construction character featuring Han Solo!,41608,Very Easy,4.0,4.0,US,0.07085106382978723
10+,9.99,3.0,101,4.0,Save the universe with LEGO® BrickHeadz Iron Man MK50!,41604,Average,4.7,4.5,US,0.09891089108910892
10+,9.99,2.0,105,3.0,Feel the power of Infinity with LEGO® BrickHeadz Thanos!,41605,Easy,5.0,5.0,US,0.09514285714285714
10+,9.99,1.0,113,5.0,Be a legendary outlaw with LEGO® BrickHeadz Star-Lord!,41606,Easy,5.0,5.0,US,0.0884070796460177
10+,9.99,2.0,91,3.0,Join the Resistance with a LEGO® BrickHeadz construction character featuring Finn!,41485,Easy,4.5,4.0,US,0.10978021978021978
10+,9.99,7.0,140,3.2,Say “I love you” with a LEGO® BrickHeadz™ Valentine's Bee!,40270,Easy,4.9,4.7,US,0.07135714285714286
10+,9.99,5.0,143,4.6,Stand tall with LEGO® BrickHeadz Wonder Woman™!,41599,Easy,5.0,5.0,US,0.06986013986013986
10+,9.99,3.0,122,2.7,Live life in the fast lane with LEGO® BrickHeadz The Flash™!,41598,Very Easy,4.0,3.0,US,0.08188524590163934
10+,9.99,5.0,130,4.3,Summon the dark side with a LEGO® BrickHeadz construction character featuring Kylo Ren™!,41603,Easy,5.0,4.8,US,0.07684615384615384
10+,9.99,3.0,119,4.5,Feel the Force with a LEGO® BrickHeadz construction character featuring Rey!,41602,Easy,5.0,4.5,US,0.08394957983193277
10+,9.99,1.0,135,1.0,Dive in with LEGO® BrickHeadz Aquaman™!,41600,Very Easy,4.0,3.0,US,0.074
10+,9.99,2.0,108,3.5,Get an upgrade with LEGO® BrickHeadz Cyborg™,41601,Easy,5.0,4.0,US,0.0925
10+,19.99,1.0,240,3.0,Travel back to the future with LEGO® BrickHeadz™ Marty McFly and Doc Brown!,41611,Easy,5.0,5.0,US,0.08329166666666667
10+,9.99,4.0,126,2.0,Hop to it with a LEGO® BrickHeadz™ Easter Bunny!,40271,Easy,5.0,4.5,US,0.07928571428571429
10+,9.99,7.0,102,4.0,Unleash your true ninja spirit with LEGO® BrickHeadz Lloyd!,41487,Easy,5.0,4.7,US,0.09794117647058824
10+,9.99,5.0,89,3.2,Learn the way of the ninja with LEGO® BrickHeadz Master Wu!,41488,Very Easy,4.4,4.0,US,0.11224719101123595
10+,9.99,6.0,118,3.3,Lead a LEGO® BrickHeadz ghost crew featuring Disney’s Captain Armando Salazar!,41594,Very Easy,5.0,4.7,US,0.08466101694915254
10+,9.99,3.0,127,3.5,Lead the First Order with a LEGO® BrickHeadz construction character featuring Captain Phasma™,41486,Very Easy,4.7,4.7,US,0.07866141732283465
10+,9.99,11.0,91,3.8,Celebrate THE LEGO® BATMAN MOVIE with a LEGO BrickHeadz Batman!,41585,Very Easy,4.9,4.7,US,0.10978021978021978
10+,9.99,8.0,96,4.0,Stand your ground with your own LEGO® BrickHeadz Iron Man!,41590,Easy,4.9,4.4,US,0.1040625
10+,9.99,9.0,109,3.6,Treasure your own LEGO® BrickHeadz construction character featuring Disney’s Captain Jack Sparrow!,41593,Easy,4.8,4.6,US,0.09165137614678899
10+,9.99,8.0,93,3.9,Have a smashing time with LEGO® BrickHeadz The Hulk!,41592,Easy,4.6,4.1,US,0.10741935483870968
