set_number,set_name,year_released,image_url,theme_name
1,Gears,1965,https://cdn.rebrickable.com/media/sets/001-1.jpg,Technic
2,4.5V Samsonite Gears Motor Set,1965,https://cdn.rebrickable.com/media/sets/002-1.jpg,Technic
1030,TECHNIC I: Simple Machines Set,1985,https://cdn.rebrickable.com/media/sets/1030-1.jpg,Technic
1038,ERBIE the Robo-Car,1985,https://cdn.rebrickable.com/media/sets/1038-1.jpg,Technic
1039,Manual Control Set 1,1986,https://cdn.rebrickable.com/media/sets/1039-1.jpg,Technic
1237,Honda Promotional Set,2001,https://cdn.rebrickable.com/media/sets/1237-1.jpg,Technic
1257,Trike Buggy,1999,https://cdn.rebrickable.com/media/sets/1257-1.jpg,Technic
1258,Propellor Buggy,1999,https://cdn.rebrickable.com/media/sets/1258-1.jpg,Technic
1259,Motorbike,1999,https://cdn.rebrickable.com/media/sets/1259-1.jpg,Technic
1260,Car,1999,https://cdn.rebrickable.com/media/sets/1260-1.jpg,Technic
1268,Bike Blaster,1999,https://cdn.rebrickable.com/media/sets/1268-1.jpg,Technic
1924,Motorcycle,1983,https://cdn.rebrickable.com/media/sets/1924-1.jpg,Technic
1972,Go-Cart,1985,https://cdn.rebrickable.com/media/sets/1972-1.jpg,Technic
2129,Blast-Off Dragster,1997,https://cdn.rebrickable.com/media/sets/2129-1.jpg,Technic
2544,Motorcycle,1998,https://cdn.rebrickable.com/media/sets/2544-1.jpg,Technic
3000,Trike Buggy,1999,https://cdn.rebrickable.com/media/sets/3000-1.jpg,Technic
3001,Kabaya Promotional Set: Propeller Buggy,1999,https://cdn.rebrickable.com/media/sets/3001-1.jpg,Technic
3003,Motorbike,1999,https://cdn.rebrickable.com/media/sets/3003-1.jpg,Technic
3005,Kabaya Promotional Set: Car,1999,https://cdn.rebrickable.com/media/sets/3005-1.jpg,Technic
30433,Volvo Wheel Loader,2022,https://cdn.rebrickable.com/media/sets/30433-1.jpg,Technic
30465,Helicopter,2021,https://cdn.rebrickable.com/media/sets/30465-1.jpg,Technic
3054,Kelloggs Promotional Set: TECHNIC Motorcycle,1998,https://cdn.rebrickable.com/media/sets/3054-1.jpg,Technic
3057,Create 'n' Race - Master Builders,2000,https://cdn.rebrickable.com/media/sets/3057-1.jpg,Technic
30655,Forklift with Pallet,2023,https://cdn.rebrickable.com/media/sets/30655-1.jpg,Technic
41999,4 x 4 Crawler Exclusive Edition,2013,https://cdn.rebrickable.com/media/sets/41999-1.jpg,Technic
42000,Grand Prix Racer,2013,https://cdn.rebrickable.com/media/sets/42000-1.jpg,Technic
42001,Mini Off-Roader,2013,https://cdn.rebrickable.com/media/sets/42001-1.jpg,Technic
42002,Hovercraft,2013,https://cdn.rebrickable.com/media/sets/42002-1.jpg,Technic
42004,Mini Backhoe Loader,2013,https://cdn.rebrickable.com/media/sets/42004-1.jpg,Technic
42005,Monster Truck,2013,https://cdn.rebrickable.com/media/sets/42005-1.jpg,Technic
42006,Excavator,2013,https://cdn.rebrickable.com/media/sets/42006-1.jpg,Technic
42007,Moto Cross Bike,2013,https://cdn.rebrickable.com/media/sets/42007-1.jpg,Technic
42008,Service Truck,2013,https://cdn.rebrickable.com/media/sets/42008-1.jpg,Technic
42009,Mobile Crane MK II,2013,https://cdn.rebrickable.com/media/sets/42009-1.jpg,Technic
42010,Off-Road Racer,2013,https://cdn.rebrickable.com/media/sets/42010-1.jpg,Technic
42011,Race Car,2013,https://cdn.rebrickable.com/media/sets/42011-1.jpg,Technic
42020,Twin-rotor Helicopter,2014,https://cdn.rebrickable.com/media/sets/42020-1.jpg,Technic
42021,Snowmobile,2014,https://cdn.rebrickable.com/media/sets/42021-1.jpg,Technic
42022,Hot Rod,2014,https://cdn.rebrickable.com/media/sets/42022-1.jpg,Technic
